customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
38544,409,5,18878,1,2,4,124,Cannot Lose Them
40861,194,3,13204,2,1,3,213,Others
44575,67,5,19404,4,2,4,424,Potential Loyalists
47300,407,7,12697,1,4,2,142,Others
48386,83,8,11809,3,4,2,342,Others
48915,118,5,19021,3,2,4,324,Promising
986,103,5,21347,3,2,4,324,Promising
1125,69,5,17918,4,2,4,424,Potential Loyalists
2981,379,6,12872,1,3,2,132,At Risk
4927,145,6,7816,3,3,1,331,Promising
10091,376,5,18091,1,2,4,124,Cannot Lose Them
10698,219,8,10940,2,4,2,242,Others
11015,470,6,11382,1,3,2,132,At Risk
12047,542,3,13514,1,1,3,113,Others
12837,460,6,9461,1,3,2,132,At Risk
14244,491,6,11183,1,3,2,132,At Risk
19025,603,7,10708,1,4,2,142,Others
24747,59,7,11111,4,4,2,442,Others
27685,389,7,16725,1,4,3,143,Cannot Lose Them
28102,125,7,12856,3,4,2,342,Others
29192,467,6,8852,1,3,2,132,At Risk
30136,408,9,14406,1,4,3,143,Cannot Lose Them
31225,378,8,16643,1,4,3,143,Cannot Lose Them
31751,178,6,8747,3,3,1,331,Promising
31921,34,5,18713,4,2,4,424,Potential Loyalists
32064,506,7,16714,1,4,3,143,Cannot Lose Them
32227,479,7,16772,1,4,3,143,Cannot Lose Them
33316,150,6,8704,3,3,1,331,Promising
34879,188,7,11420,2,4,2,242,Others
41566,602,7,16207,1,4,3,143,Cannot Lose Them
42653,173,6,7341,3,3,1,331,Promising
43282,349,3,14214,2,1,3,213,Others
44674,376,5,18262,1,2,4,124,Cannot Lose Them
46435,21,6,7805,4,3,1,431,Potential Loyalists
46484,103,7,12217,3,4,2,342,Others
48041,29,7,10101,4,4,2,442,Others
48866,500,6,8989,1,3,2,132,At Risk
49894,9,5,20355,4,2,4,424,Potential Loyalists
2487,26,7,10555,4,4,2,442,Others
5627,431,6,7283,1,3,1,131,At Risk
6657,149,7,9534,3,4,2,342,Others
6697,33,7,11969,4,4,2,442,Others
7192,727,3,14557,1,1,3,113,Others
10881,64,8,11237,4,4,2,442,Others
12160,48,7,10794,4,4,2,442,Others
13452,407,8,14483,1,4,3,143,Cannot Lose Them
14146,36,7,10822,4,4,2,442,Others
14187,151,7,12527,3,4,2,342,Others
17521,425,5,18820,1,2,4,124,Cannot Lose Them
20180,303,7,7868,2,4,1,241,Others
21257,12,6,6951,4,3,1,431,Potential Loyalists
23307,615,7,13161,1,4,3,143,Cannot Lose Them
24397,10,7,12475,4,4,2,442,Others
24797,231,6,8119,2,3,1,231,At Risk
25392,148,7,12772,3,4,2,342,Others
25695,503,6,8276,1,3,1,131,At Risk
26211,526,3,13292,1,1,3,113,Others
26518,53,5,21143,4,2,4,424,Potential Loyalists
34017,399,7,12253,1,4,2,142,Others
34249,439,6,10535,1,3,2,132,At Risk
37391,361,3,13255,2,1,3,213,Others
40918,592,7,15939,1,4,3,143,Cannot Lose Them
44236,497,7,11877,1,4,2,142,Others
46444,14,6,5693,4,3,1,431,Potential Loyalists
48424,226,6,8171,2,3,1,231,At Risk
1922,565,6,11696,1,3,2,132,At Risk
7546,145,7,12689,3,4,2,342,Others
7693,44,5,19392,4,2,4,424,Potential Loyalists
10046,374,7,17335,1,4,3,143,Cannot Lose Them
11685,704,5,20275,1,2,4,124,Cannot Lose Them
12703,70,5,18923,4,2,4,424,Potential Loyalists
13255,389,7,12576,1,4,2,142,Others
14343,606,6,9485,1,3,2,132,At Risk
16045,665,8,17711,1,4,3,143,Cannot Lose Them
18817,175,7,12170,3,4,2,342,Others
19852,391,6,12005,1,3,2,132,At Risk
19991,4,5,20004,4,2,4,424,Potential Loyalists
21863,276,7,12877,2,4,2,242,Others
25144,486,6,8645,1,3,1,131,At Risk
28178,560,6,9929,1,3,2,132,At Risk
28951,108,6,6735,3,3,1,331,Promising
29701,47,7,12066,4,4,2,442,Others
29802,391,9,17007,1,4,3,143,Cannot Lose Them
32168,48,6,8354,4,3,1,431,Potential Loyalists
38419,486,6,12296,1,3,2,132,At Risk
40403,448,7,15207,1,4,3,143,Cannot Lose Them
43451,56,5,19479,4,2,4,424,Potential Loyalists
43977,444,7,17910,1,4,3,143,Cannot Lose Them
44192,27,7,8865,4,4,2,442,Others
49389,11,5,20138,4,2,4,424,Potential Loyalists
49783,20,7,10869,4,4,2,442,Others
698,474,6,12673,1,3,2,132,At Risk
1177,210,7,11739,2,4,2,242,Others
1312,623,6,8590,1,3,1,131,At Risk
2104,646,3,13595,1,1,3,113,Others
2258,16,5,18323,4,2,4,424,Potential Loyalists
2873,108,3,13546,3,1,3,313,Others
4268,189,8,8142,2,4,1,241,Others
4643,494,8,15365,1,4,3,143,Cannot Lose Them
6590,99,8,10192,3,4,2,342,Others
6626,21,7,10457,4,4,2,442,Others
7120,66,7,12354,4,4,2,442,Others
7753,420,5,19378,1,2,4,124,Cannot Lose Them
7914,299,6,6472,2,3,1,231,At Risk
10265,99,5,18852,3,2,4,324,Promising
12386,503,7,12399,1,4,2,142,Others
13967,462,6,10280,1,3,2,132,At Risk
15690,412,6,11512,1,3,2,132,At Risk
15851,464,7,16534,1,4,3,143,Cannot Lose Them
16062,416,5,20879,1,2,4,124,Cannot Lose Them
16222,710,6,12946,1,3,2,132,At Risk
16526,80,7,11893,3,4,2,342,Others
20161,195,7,10714,2,4,2,242,Others
21873,559,5,17993,1,2,4,124,Cannot Lose Them
22608,160,5,18731,3,2,4,324,Promising
22810,159,7,10341,3,4,2,342,Others
23583,535,7,12517,1,4,2,142,Others
23991,31,5,19031,4,2,4,424,Potential Loyalists
26693,752,6,11724,1,3,2,132,At Risk
29834,41,5,18312,4,2,4,424,Potential Loyalists
30705,543,3,13781,1,1,3,113,Others
30913,475,7,11962,1,4,2,142,Others
30974,980,3,13458,1,1,3,113,Others
33895,22,7,8811,4,4,2,442,Others
34982,501,6,11922,1,3,2,132,At Risk
35080,416,6,11762,1,3,2,132,At Risk
36178,547,7,10319,1,4,2,142,Others
36182,55,7,12579,4,4,2,442,Others
36317,473,5,18937,1,2,4,124,Cannot Lose Them
38475,579,5,20845,1,2,4,124,Cannot Lose Them
38880,304,7,12639,2,4,2,242,Others
39197,3,5,21326,4,2,4,424,Potential Loyalists
42479,2,5,21468,4,2,4,424,Potential Loyalists
43418,163,7,11016,3,4,2,342,Others
43611,47,8,12448,4,4,2,442,Others
43840,73,5,20638,4,2,4,424,Potential Loyalists
45739,108,5,18534,3,2,4,324,Promising
48620,121,4,18147,3,2,4,324,Promising
6307,80,7,11335,3,4,2,342,Others
7734,57,5,18183,4,2,4,424,Potential Loyalists
8835,146,5,18392,3,2,4,324,Promising
9824,47,7,11533,4,4,2,442,Others
11218,172,6,8795,3,3,1,331,Promising
13103,187,7,11666,2,4,2,242,Others
13540,386,7,13727,1,4,3,143,Cannot Lose Them
13915,534,5,18861,1,2,4,124,Cannot Lose Them
15981,148,7,12224,3,4,2,342,Others
20440,379,9,16211,1,4,3,143,Cannot Lose Them
24466,298,8,11117,2,4,2,242,Others
25797,309,3,13557,2,1,3,213,Others
25961,124,6,6780,3,3,1,331,Promising
30068,481,7,13856,1,4,3,143,Cannot Lose Them
30368,308,6,7803,2,3,1,231,At Risk
31044,454,4,18101,1,2,4,124,Cannot Lose Them
31410,546,6,7922,1,3,1,131,At Risk
31627,68,7,12298,4,4,2,442,Others
31763,368,7,12355,2,4,2,242,Others
32606,128,8,11453,3,4,2,342,Others
34569,488,5,18572,1,2,4,124,Cannot Lose Them
35976,256,7,12938,2,4,2,242,Others
36940,161,7,12421,3,4,2,342,Others
37197,215,6,8321,2,3,1,231,At Risk
39808,25,8,11497,4,4,2,442,Others
41608,40,5,21692,4,2,4,424,Potential Loyalists
41985,732,5,18019,1,2,4,124,Cannot Lose Them
42546,62,5,20236,4,2,4,424,Potential Loyalists
43037,78,7,12069,3,4,2,342,Others
45143,387,7,15938,1,4,3,143,Cannot Lose Them
45620,581,6,10487,1,3,2,132,At Risk
47729,112,5,18007,3,2,4,324,Promising
48430,0,6,8213,4,3,1,431,Potential Loyalists
1755,764,7,14624,1,4,3,143,Cannot Lose Them
5373,417,5,19285,1,2,4,124,Cannot Lose Them
6000,91,5,19051,3,2,4,324,Promising
6794,562,6,11127,1,3,2,132,At Risk
9733,597,3,12997,1,1,3,113,Others
12110,516,7,12911,1,4,2,142,Others
14142,120,5,18512,3,2,4,324,Promising
17960,87,5,18294,3,2,4,324,Promising
25817,690,7,16742,1,4,3,143,Cannot Lose Them
28074,257,7,11914,2,4,2,242,Others
28374,138,6,7261,3,3,1,331,Promising
30403,37,8,12359,4,4,2,442,Others
33023,182,3,13268,3,1,3,313,Others
35338,244,6,7084,2,3,1,231,At Risk
35389,220,7,12851,2,4,2,242,Others
36233,316,6,7247,2,3,1,231,At Risk
36342,1133,3,13387,1,1,3,113,Others
36581,16,7,11522,4,4,2,442,Others
39263,155,7,12046,3,4,2,342,Others
40209,475,7,17790,1,4,3,143,Cannot Lose Them
41938,633,7,16435,1,4,3,143,Cannot Lose Them
42100,397,7,17150,1,4,3,143,Cannot Lose Them
42234,203,6,8151,2,3,1,231,At Risk
42924,75,5,18859,4,2,4,424,Potential Loyalists
47652,50,6,5671,4,3,1,431,Potential Loyalists
48106,500,5,18470,1,2,4,124,Cannot Lose Them
49332,431,7,15721,1,4,3,143,Cannot Lose Them
4110,4,9,10727,4,4,2,442,Others
5165,17,7,11354,4,4,2,442,Others
5948,23,5,20134,4,2,4,424,Potential Loyalists
11339,28,5,19075,4,2,4,424,Potential Loyalists
12611,62,5,18226,4,2,4,424,Potential Loyalists
14831,659,7,15587,1,4,3,143,Cannot Lose Them
16206,440,7,15376,1,4,3,143,Cannot Lose Them
16984,384,7,14535,1,4,3,143,Cannot Lose Them
17248,97,5,18658,3,2,4,324,Promising
20778,13,7,9120,4,4,2,442,Others
24805,516,7,14902,1,4,3,143,Cannot Lose Them
25157,405,6,9134,1,3,2,132,At Risk
27500,293,7,12968,2,4,2,242,Others
30276,24,6,7636,4,3,1,431,Potential Loyalists
30734,136,5,18981,3,2,4,324,Promising
32930,295,8,12233,2,4,2,242,Others
34127,13,3,13250,4,1,3,413,New Customers
34282,595,7,11119,1,4,2,142,Others
34306,345,7,10500,2,4,2,242,Others
35303,531,6,9931,1,3,2,132,At Risk
37614,31,5,18052,4,2,4,424,Potential Loyalists
39095,583,5,18012,1,2,4,124,Cannot Lose Them
39977,62,7,12000,4,4,2,442,Others
41905,694,6,12035,1,3,2,132,At Risk
43481,512,7,16125,1,4,3,143,Cannot Lose Them
47128,469,7,14784,1,4,3,143,Cannot Lose Them
49511,94,5,19632,3,2,4,324,Promising
49645,387,6,11295,1,3,2,132,At Risk
49659,407,6,12347,1,3,2,132,At Risk
49725,378,5,18419,1,2,4,124,Cannot Lose Them
2969,36,7,11260,4,4,2,442,Others
3728,96,5,24103,3,2,4,324,Promising
6468,162,8,11840,3,4,2,342,Others
7595,126,6,8093,3,3,1,331,Promising
12425,200,8,8876,2,4,2,242,Others
13887,413,5,19861,1,2,4,124,Cannot Lose Them
19448,4,7,9674,4,4,2,442,Others
26401,5,5,19135,4,2,4,424,Potential Loyalists
28924,789,6,12297,1,3,2,132,At Risk
29864,509,5,18929,1,2,4,124,Cannot Lose Them
31746,112,5,17962,3,2,4,324,Promising
32459,59,5,19209,4,2,4,424,Potential Loyalists
32979,457,7,17002,1,4,3,143,Cannot Lose Them
33087,10,5,19234,4,2,4,424,Potential Loyalists
35088,528,7,16142,1,4,3,143,Cannot Lose Them
41650,86,8,12953,3,4,2,342,Others
42265,501,7,17011,1,4,3,143,Cannot Lose Them
42598,601,7,15512,1,4,3,143,Cannot Lose Them
43514,379,7,13687,1,4,3,143,Cannot Lose Them
43749,287,7,11654,2,4,2,242,Others
46407,40,7,12329,4,4,2,442,Others
46919,476,7,14749,1,4,3,143,Cannot Lose Them
47586,377,6,11996,1,3,2,132,At Risk
48302,439,5,18304,1,2,4,124,Cannot Lose Them
49959,104,9,12461,3,4,2,342,Others
406,387,8,16833,1,4,3,143,Cannot Lose Them
4497,160,7,11072,3,4,2,342,Others
4663,142,5,18337,3,2,4,324,Promising
6288,28,7,12550,4,4,2,442,Others
6512,444,5,19151,1,2,4,124,Cannot Lose Them
7396,854,7,14427,1,4,3,143,Cannot Lose Them
8467,40,7,12186,4,4,2,442,Others
10989,68,9,12341,4,4,2,442,Others
13332,72,7,11778,4,4,2,442,Others
13860,120,7,10556,3,4,2,342,Others
16194,123,5,19472,3,2,4,324,Promising
18524,178,5,19135,3,2,4,324,Promising
20107,9,5,19111,4,2,4,424,Potential Loyalists
22227,233,3,13169,2,1,3,213,Others
22465,387,6,12521,1,3,2,132,At Risk
23107,583,3,12990,1,1,3,113,Others
24997,44,7,11046,4,4,2,442,Others
26771,247,7,10277,2,4,2,242,Others
29210,535,8,16645,1,4,3,143,Cannot Lose Them
30763,295,7,11503,2,4,2,242,Others
34277,173,7,11010,3,4,2,342,Others
34332,136,7,12579,3,4,2,342,Others
34631,223,7,12940,2,4,2,242,Others
34653,332,3,13692,2,1,3,213,Others
35414,512,5,18701,1,2,4,124,Cannot Lose Them
40199,422,5,19934,1,2,4,124,Cannot Lose Them
42365,59,6,8300,4,3,1,431,Potential Loyalists
48454,418,7,14248,1,4,3,143,Cannot Lose Them
49720,59,7,12083,4,4,2,442,Others
49920,426,7,13758,1,4,3,143,Cannot Lose Them
49930,453,7,16908,1,4,3,143,Cannot Lose Them
179,10,5,20456,4,2,4,424,Potential Loyalists
3782,103,5,18672,3,2,4,324,Promising
7125,836,6,10496,1,3,2,132,At Risk
10775,25,6,4957,4,3,1,431,Potential Loyalists
10844,782,5,18877,1,2,4,124,Cannot Lose Them
11129,421,7,14593,1,4,3,143,Cannot Lose Them
12451,391,7,16970,1,4,3,143,Cannot Lose Them
14502,452,3,12990,1,1,3,113,Others
16879,131,7,12828,3,4,2,342,Others
20098,52,3,13783,4,1,3,413,New Customers
20594,23,5,18386,4,2,4,424,Potential Loyalists
22584,1157,3,13790,1,1,3,113,Others
26529,22,6,8702,4,3,1,431,Potential Loyalists
26901,96,5,18292,3,2,4,324,Promising
27170,193,3,13981,2,1,3,213,Others
27282,258,8,11460,2,4,2,242,Others
31522,20,7,11326,4,4,2,442,Others
33666,491,7,17146,1,4,3,143,Cannot Lose Them
35404,588,7,16131,1,4,3,143,Cannot Lose Them
36223,9,5,20873,4,2,4,424,Potential Loyalists
36382,337,7,12020,2,4,2,242,Others
36793,213,7,10304,2,4,2,242,Others
38054,107,5,19509,3,2,4,324,Promising
38533,131,5,17918,3,2,4,324,Promising
38600,458,3,14080,1,1,3,113,Others
41926,70,5,21823,4,2,4,424,Potential Loyalists
41967,46,6,6934,4,3,1,431,Potential Loyalists
43456,131,3,14052,3,1,3,313,Others
43995,421,6,9761,1,3,2,132,At Risk
45845,79,5,18832,3,2,4,324,Promising
48942,424,8,17355,1,4,3,143,Cannot Lose Them
632,48,5,18397,4,2,4,424,Potential Loyalists
3050,162,7,12889,3,4,2,342,Others
3353,434,5,18381,1,2,4,124,Cannot Lose Them
3556,123,7,12948,3,4,2,342,Others
3615,422,7,14577,1,4,3,143,Cannot Lose Them
8672,426,7,14605,1,4,3,143,Cannot Lose Them
16613,36,5,18907,4,2,4,424,Potential Loyalists
17298,402,6,10868,1,3,2,132,At Risk
17761,631,7,14434,1,4,3,143,Cannot Lose Them
19857,626,8,17821,1,4,3,143,Cannot Lose Them
23780,79,7,8511,3,4,1,341,Others
27830,216,7,12368,2,4,2,242,Others
28884,610,6,11715,1,3,2,132,At Risk
30193,915,6,12877,1,3,2,132,At Risk
30811,434,6,9033,1,3,2,132,At Risk
32823,15,7,10590,4,4,2,442,Others
32994,75,5,19318,4,2,4,424,Potential Loyalists
33071,549,6,9900,1,3,2,132,At Risk
37354,3,7,11823,4,4,2,442,Others
38615,177,5,18908,3,2,4,324,Promising
39769,154,5,19277,3,2,4,324,Promising
40039,76,5,21123,4,2,4,424,Potential Loyalists
41872,277,3,14348,2,1,3,213,Others
42030,72,5,17972,4,2,4,424,Potential Loyalists
42664,80,5,17981,3,2,4,324,Promising
46712,150,5,20109,3,2,4,324,Promising
46992,134,5,19154,3,2,4,324,Promising
47532,56,6,8600,4,3,1,431,Potential Loyalists
47600,14,3,13789,4,1,3,413,New Customers
47617,51,5,19337,4,2,4,424,Potential Loyalists
49282,18,7,11793,4,4,2,442,Others
49654,63,5,20644,4,2,4,424,Potential Loyalists
266,39,7,10856,4,4,2,442,Others
317,334,3,14315,2,1,3,213,Others
1463,163,5,19136,3,2,4,324,Promising
4040,486,5,18775,1,2,4,124,Cannot Lose Them
5968,203,6,5030,2,3,1,231,At Risk
7990,111,5,23144,3,2,4,324,Promising
10598,137,7,10138,3,4,2,342,Others
10692,64,7,12457,4,4,2,442,Others
11182,59,7,12482,4,4,2,442,Others
11516,15,6,7963,4,3,1,431,Potential Loyalists
12225,379,6,7843,1,3,1,131,At Risk
15237,401,8,15274,1,4,3,143,Cannot Lose Them
16383,408,3,13010,1,1,3,113,Others
16397,16,6,7936,4,3,1,431,Potential Loyalists
16479,4,3,13143,4,1,3,413,New Customers
20884,75,5,18335,4,2,4,424,Potential Loyalists
21224,57,5,18887,4,2,4,424,Potential Loyalists
22069,93,5,19700,3,2,4,324,Promising
22513,51,5,18719,4,2,4,424,Potential Loyalists
24168,370,7,9385,2,4,2,242,Others
24367,526,8,14283,1,4,3,143,Cannot Lose Them
24922,763,8,17084,1,4,3,143,Cannot Lose Them
25576,255,6,6105,2,3,1,231,At Risk
25722,126,6,7148,3,3,1,331,Promising
26189,219,6,8775,2,3,1,231,At Risk
29803,76,7,9123,4,4,2,442,Others
30424,490,6,11941,1,3,2,132,At Risk
30790,417,6,11217,1,3,2,132,At Risk
31567,59,3,13123,4,1,3,413,New Customers
33154,125,5,18579,3,2,4,324,Promising
34642,28,5,20456,4,2,4,424,Potential Loyalists
34787,434,8,12288,1,4,2,142,Others
36201,4,7,12452,4,4,2,442,Others
36726,472,7,14929,1,4,3,143,Cannot Lose Them
38829,384,7,14014,1,4,3,143,Cannot Lose Them
38868,755,8,15691,1,4,3,143,Cannot Lose Them
41331,94,6,8613,3,3,1,331,Promising
42583,20,5,18221,4,2,4,424,Potential Loyalists
44328,253,6,6309,2,3,1,231,At Risk
46740,265,6,8460,2,3,1,231,At Risk
49069,38,6,7501,4,3,1,431,Potential Loyalists
49087,96,7,9450,3,4,2,342,Others
49754,152,5,18908,3,2,4,324,Promising
2296,170,6,7916,3,3,1,331,Promising
4042,70,7,11441,4,4,2,442,Others
4856,7,5,18875,4,2,4,424,Potential Loyalists
5718,508,6,12497,1,3,2,132,At Risk
8484,514,6,11599,1,3,2,132,At Risk
15095,591,6,11020,1,3,2,132,At Risk
15866,1,7,12507,4,4,2,442,Others
19336,573,7,16728,1,4,3,143,Cannot Lose Them
19949,119,5,22391,3,2,4,324,Promising
24209,97,5,18992,3,2,4,324,Promising
27789,753,5,19208,1,2,4,124,Cannot Lose Them
28276,703,7,16114,1,4,3,143,Cannot Lose Them
28387,88,7,10083,3,4,2,342,Others
29858,311,7,12874,2,4,2,242,Others
31144,59,5,18430,4,2,4,424,Potential Loyalists
32289,170,5,19911,3,2,4,324,Promising
35137,226,3,13059,2,1,3,213,Others
35806,177,3,13383,3,1,3,313,Others
36503,60,5,19517,4,2,4,424,Potential Loyalists
36645,364,6,8327,2,3,1,231,At Risk
38601,33,7,10804,4,4,2,442,Others
39026,405,5,19246,1,2,4,124,Cannot Lose Them
39040,196,7,11286,2,4,2,242,Others
39643,475,6,12380,1,3,2,132,At Risk
42156,7,5,20197,4,2,4,424,Potential Loyalists
42235,566,7,12858,1,4,2,142,Others
43387,84,7,12725,3,4,2,342,Others
44893,505,5,18517,1,2,4,124,Cannot Lose Them
46515,10,5,17977,4,2,4,424,Potential Loyalists
46894,50,5,18620,4,2,4,424,Potential Loyalists
47410,1215,3,13177,1,1,3,113,Others
48345,763,5,21063,1,2,4,124,Cannot Lose Them
48716,445,6,11329,1,3,2,132,At Risk
1757,134,7,12375,3,4,2,342,Others
2549,486,5,19897,1,2,4,124,Cannot Lose Them
4292,80,5,18389,3,2,4,324,Promising
5204,34,5,17942,4,2,4,424,Potential Loyalists
7028,401,6,12943,1,3,2,132,At Risk
7067,199,7,11866,2,4,2,242,Others
7356,453,6,10118,1,3,2,132,At Risk
12853,32,3,14244,4,1,3,413,New Customers
14734,336,3,13001,2,1,3,213,Others
17317,11,7,12862,4,4,2,442,Others
17650,291,7,10934,2,4,2,242,Others
20793,453,7,9948,1,4,2,142,Others
21250,306,6,6463,2,3,1,231,At Risk
22143,367,7,9903,2,4,2,242,Others
22213,233,7,8083,2,4,1,241,Others
24070,662,6,11625,1,3,2,132,At Risk
24100,800,5,21201,1,2,4,124,Cannot Lose Them
28488,126,5,18255,3,2,4,324,Promising
28957,388,5,18517,1,2,4,124,Cannot Lose Them
32128,5,5,18183,4,2,4,424,Potential Loyalists
34252,460,6,12327,1,3,2,132,At Risk
34784,177,7,11397,3,4,2,342,Others
36411,44,5,19595,4,2,4,424,Potential Loyalists
38453,182,7,12303,3,4,2,342,Others
40338,53,7,12902,4,4,2,442,Others
40382,491,7,17830,1,4,3,143,Cannot Lose Them
42386,596,5,18247,1,2,4,124,Cannot Lose Them
42563,6,5,20559,4,2,4,424,Potential Loyalists
43494,124,3,13032,3,1,3,313,Others
43696,431,7,16711,1,4,3,143,Cannot Lose Them
43777,439,7,17714,1,4,3,143,Cannot Lose Them
44150,322,7,12950,2,4,2,242,Others
44723,670,5,20630,1,2,4,124,Cannot Lose Them
45489,112,5,17948,3,2,4,324,Promising
390,169,3,13721,3,1,3,313,Others
3163,157,5,18297,3,2,4,324,Promising
4536,63,7,11909,4,4,2,442,Others
4691,197,7,12073,2,4,2,242,Others
5886,63,7,10442,4,4,2,442,Others
10586,145,5,18201,3,2,4,324,Promising
11329,127,5,19559,3,2,4,324,Promising
12155,127,5,20045,3,2,4,324,Promising
13297,457,7,14997,1,4,3,143,Cannot Lose Them
14528,690,5,18074,1,2,4,124,Cannot Lose Them
14753,940,5,18025,1,2,4,124,Cannot Lose Them
15072,113,5,18103,3,2,4,324,Promising
16612,410,6,12614,1,3,2,132,At Risk
18252,518,7,16286,1,4,3,143,Cannot Lose Them
18885,241,7,11281,2,4,2,242,Others
22002,109,5,19407,3,2,4,324,Promising
23111,179,8,12605,3,4,2,342,Others
23525,585,6,10790,1,3,2,132,At Risk
23925,704,3,13697,1,1,3,113,Others
24635,452,6,12084,1,3,2,132,At Risk
29255,602,6,12055,1,3,2,132,At Risk
29655,424,6,7988,1,3,1,131,At Risk
33090,869,7,11165,1,4,2,142,Others
33272,78,3,13470,3,1,3,313,Others
33639,639,5,19094,1,2,4,124,Cannot Lose Them
35716,392,9,15857,1,4,3,143,Cannot Lose Them
37143,149,5,19407,3,2,4,324,Promising
39249,13,7,11848,4,4,2,442,Others
39451,336,3,14146,2,1,3,213,Others
42193,152,7,12676,3,4,2,342,Others
44877,288,7,12739,2,4,2,242,Others
46916,8,5,21468,4,2,4,424,Potential Loyalists
47542,157,5,18672,3,2,4,324,Promising
49469,452,6,11472,1,3,2,132,At Risk
2827,367,3,13997,2,1,3,213,Others
3552,412,5,18443,1,2,4,124,Cannot Lose Them
4816,175,3,14349,3,1,3,313,Others
9229,584,7,10068,1,4,2,142,Others
13214,125,5,21703,3,2,4,324,Promising
19705,483,6,12921,1,3,2,132,At Risk
21047,156,5,19097,3,2,4,324,Promising
21636,789,5,18452,1,2,4,124,Cannot Lose Them
22038,168,4,17983,3,2,4,324,Promising
28630,218,10,12163,2,4,2,242,Others
30908,83,5,18068,3,2,4,324,Promising
31772,36,7,11483,4,4,2,442,Others
33627,345,3,13394,2,1,3,213,Others
33786,413,5,19539,1,2,4,124,Cannot Lose Them
35821,633,5,18473,1,2,4,124,Cannot Lose Them
36138,377,8,16353,1,4,3,143,Cannot Lose Them
39298,252,7,11893,2,4,2,242,Others
40828,77,5,19010,4,2,4,424,Potential Loyalists
43950,273,6,6836,2,3,1,231,At Risk
44713,44,5,18611,4,2,4,424,Potential Loyalists
45415,75,8,12029,4,4,2,442,Others
45629,422,5,19790,1,2,4,124,Cannot Lose Them
49268,415,8,16001,1,4,3,143,Cannot Lose Them
656,1005,6,8959,1,3,2,132,At Risk
2422,22,8,11717,4,4,2,442,Others
